Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3000
low confidence hdp.3,2465
low confidence hdp.4,1996
low confidence hdp.5,1995
low confidence hdp.6,1591
low confidence hdp.7,1400
low confidence hdp.8,1164
low confidence hdp.9,1000
low confidence hdp.10,990
low confidence hdp.11,957
low confidence hdp.12,885
low confidence hdp.13,800
low confidence hdp.14,597
low confidence hdp.15,400
low confidence hdp.16,397
low confidence hdp.17,47
low confidence hdp.18,12
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
